name,price_regular,price_discount,rating,platforms,howlongtobeat,distribution_type,site,url,image_url
Escape from Tarkov,49.99,42.49,87,PC,26.6,Digital,steam,https://store.steampowered.com/app/3932890/Escape_from_Tarkov/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3932890/b2f778ce89eabef7a6ce498cfa1731aa02e0c1ed/capsule_616x353.jpg?t=1763204479
Phasmophobia,19.99,19.99,81,PC,37.2,Digital,steam,https://store.steampowered.com/app/739630/Phasmophobia/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/739630/f5328c8324f7723f7598ab4cf21fca050f8ba5d9/capsule_616x353_alt_assets_5.jpg?t=1762865621
Dispatch,45.87,45.87,92,PC,44.4,Digital,steam,https://store.steampowered.com/app/2592160/Dispatch/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2592160/fcfd39596c29e58f0d0c44ca56b8490d91fb3b76/capsule_616x353.jpg?t=1762980554
Europa Universalis V,59.99,59.99,89,PC,21.3,Digital,steam,https://store.steampowered.com/app/3450310/Europa_Universalis_V/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3450310/b84977c9a2df5f158889ad52db26b3029f6dfcb6/capsule_616x353_alt_assets_0_spanish.jpg?t=1762296010
The Outer Worlds 2,69.99,69.99,86,PC,25.6,Digital,steam,https://store.steampowered.com/app/1449110/The_Outer_Worlds_2/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1449110/0130c9add6d097099cc7796a04def57bee93e58d/capsule_616x353.jpg?t=1761760147
INAZUMA ELEVEN: Heroes' Victory Road,69.99,69.99,86,PC,28.9,Digital,steam,https://store.steampowered.com/app/2799860/INAZUMA_ELEVEN_Heroes_Victory_Road/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2799860/671cfa4647b375f1086c2cb3c22b5752d2e59686/capsule_616x353_spanish.jpg?t=1763265397
Crusader Kings III,171.09,171.09,97,PC,25.9,Digital,steam,https://store.steampowered.com/app/1158310/Crusader_Kings_III/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1158310/76f8bd6fe02c04173055b933b42f103346019b42/capsule_616x353_alt_assets_11_spanish.jpg?t=1762165597
ARK: Survival Ascended,44.99,22.49,97,PC,31.2,Digital,steam,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2399830/157abe35b22e96ea4ecea8eb723fb923ea198715/capsule_616x353.jpg?t=1760216941
Battlefield™ 6,69.99,69.99,91,PC,13.2,Digital,steam,https://store.steampowered.com/app/2807960/Battlefield_6/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2807960/5dc50319d192ca49d082f87fe95fefb8363fc9b4/capsule_616x353_alt_assets_7_spanish.jpg?t=1762876911
Enshrouded,29.99,23.99,85,PC,35.8,Digital,steam,https://store.steampowered.com/app/1203620/Enshrouded/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1203620/335cc72676b206925095e06ba2f17fcfd71b9654/capsule_616x353.jpg?t=1762874493
